polid,politician,firstvote,dateofdeath,w_deflated,dod_father,source_father,pod_father,dod_mother,source_mother,pod_mother,wealth_father,wealth_mother,wealth_misc,misc1,misc2
00665,Juten,1914-06-03,1929-04-11,"45692,4776",1897-12-26,https://gw.geneanet.org/assel209?lang=en&pz=joannes&nz=asselberghs&p=franciscus+gomarus&n=juten,Bergen op Zoom,1909-05-03,https://gw.geneanet.org/assel209?lang=en&pz=joannes&nz=asselberghs&p=elisabeth+johanna&n=vergroesen,Bergen op Zoom,14697.36,,,,
00666,van der Kaay,1878-05-24,1918-07-29,"4204,7741",1868-04-19,https://www.openarch.nl/nha:a5d6c02c-f1fc-4549-a3d1-6f8ae6cc7874,Alkmaar,1847-08-03,https://www.openarch.nl/search.php?name=Jannetje+Dorreman&number_show=10&sort=4,Alkmaar,,,,,
00671,de Kanter,1893-06-23,1906-07-14,"18801,0429",1868-06-05,https://gw.geneanet.org/kantnic?lang=en&p=hubert+philippus&n=de+kanter,Brielle,1876-02-17,https://gw.geneanet.org/kantnic?lang=en&p=johanna+alida&n=van+andel,Brielle,,,,,
00672,de Kanter,1911-03-10,1953-05-16,NA,,,,,,,,,,,
00676,van Karnebeek,1893-06-23,1925-10-09,"455776,6191",1874-09-25,https://www.genealogieonline.nl/stamboom-de-leede/I63956.php,Den Haag,1888-07-10,https://www.genealogieonline.nl/genealogie-richard-remme/I324970.php,Den Haag,,701699.13,,,
00682,Kerdijk,1893-06-23,1905-03-14,NA,,,,,,,,,,,
00684,van Kerkwijk,1878-05-24,1901-05-21,"322864,8269",1853-12-05,https://nl.wikipedia.org/wiki/Abraham_Willem_van_Kerkwijk,Ouddorp,1882-02-25,https://www.genealogieonline.nl/genealogie-de-vos-verschuur/I101092.php,Ouddorp,,53898.67,,,
00689,Ketelaar,1911-03-10,1936-06-27,"-510,6196",,,,1884-03-16,https://www.delpher.nl/nl/tijdschriften/view?identifier=MMKB26:000043052:00008&query=Johann+Gottlieb+Ketelaar&coll=dts,Amsterdam,,0,,,
00691,Keuchenius,1893-06-23,1893-12-17,"-9470,8049",1851-10-30,https://gw.geneanet.org/hoffman?lang=nl&n=keuchenius&oc=0&p=levinus+wilhelmus+christiaan,Schiedam,1826-09-24,https://gw.geneanet.org/hoffman?lang=nl&n=keuchenius&oc=0&p=levinus+wilhelmus+christiaan,Batavia,,,,,
00696,Kielstra,1893-06-23,1920-06-04,"451184,1002",1849-01-05,https://www.openarch.nl/frl:2f9a3b48-1ed5-db80-0198-5067b5683d20,,1855-06-19,https://www.openarch.nl/search.php?name=Yfke+Egberts+Kijlstra,Ternaard,,,,https://www.geni.com/people/Geertruida-Elisabeth-Cornelia-Lingeman/6000000024713517901,Vrouw gestorven in 1915
00702,Kleerekoper,1914-12-11,1943-04-14,NA,,,,,,,,,,,
00704,de Klerk,1911-03-10,1920-07-23,NA,,,,,,,,,,,
00709,Knobel,1914-06-03,1933-10-16,NA,,,,,,,,,,,
00727,Kolkman,1893-06-23,1924-02-19,"-23658,3484",1882-07-28,https://www.genealogieonline.nl/genealogische-gegevens-tilburg-goirle/I564372.php,Dordrecht,1894-05-06,https://www.genealogieonline.nl/genealogische-gegevens-tilburg-goirle/I564373.php,Dordrecht,934149.9,,,,
00733,Kooien,1911-03-10,1945-03-24,NA,,,,,,,,,,,
00742,Koster,1916-07-18,1947-07-14,NA,,,,,,,,,,,
00763,van der Kun,1893-06-23,1914-09-27,"153509,4064",1878-08-29,https://www.genealogieonline.nl/en/genealogie-schutijser/I2422.php,Rijswijk,1891-12-20,https://www.genealogieonline.nl/en/genealogie-schutijser/I2421.php,Rotterdam,1204126.08,,,,
00766,Kuyper,1911-03-10,1920-11-08,"112403,9687",1882-12-07,https://www.genealogieonline.nl/en/dinteloord-en-omliggende-gemeenten/I93176.php,Leiden,1881-01-03,https://www.genealogieonline.nl/en/dinteloord-en-omliggende-gemeenten/I93178.php,Leiden,5248.81,4010.87,,,
00772,J. ter Laan,1914-06-03,1956-08-09,NA,,,,,,,,,,,
00773,K. ter Laan,1914-06-03,1963-03-06,NA,,,,,,,,,,,
00778,Lambrechts,1878-05-24,1896-11-25,"57423,6632",1858-04-03,https://www.geni.com/people/Johannes-Jacobus-Lambrechts/6000000029401221056,Obbicht,1900-11-06,https://www.geni.com/people/Maria-Gertrudis-Nelissen/6000000029401221062,Obbicht,,,,,
00781,Land,1893-06-23,1894-10-07,"-17772,7492",1895-11-21,https://www.geni.com/people/Gosling-Land/6000000022768834962,Heerde,1907-06-04,https://www.geni.com/people/Antje-van-der-Meulen/6000000022768479511,Franeker,277.86,,,,
00796,van Leeuwen,1914-12-11,1922-10-13,"10170,7210",1913-03-09,https://www.geni.com/people/Everardus-Hendrikus-van-Leeuwen/6000000032623532119,Bloemendaal,1912-02-05,https://www.geni.com/people/Adriana-Maria-Theodora-Repelius/6000000032623532125,Velp,290745.11,,,,
00806,van Lennep,1911-03-10,1928-05-10,NA,,,,,,,,,,,
00808,Lenting,1878-05-24,1881-11-20,"18194,6546",,,,,,,,,,,
00809,Levy,1893-06-23,1920-03-17,"27928,9629",,,,,,,,,,,
00815,Lieftinck,1893-06-23,1917-07-07,"102237,6349",1891-09-15,https://www.genealogieonline.nl/stamboom-evertman/I36057.php,Groningen,1901-04-08,https://www.geni.com/people/Hemmina-Uilkens/6000000021196832046,Sneek,,,,,
00822,Limburg,1911-03-10,1940-05-15,NA,,,,,,,,,,,
00833,van Löben Sels,1893-06-23,1923-03-18,NA,,,,,,,,,,,
00835,Loeff,1911-03-10,1921-07-10,"53429,0196",1880-01-13,https://www.geni.com/people/Hendrikus-Loeff/6000000030140806939,Baardwijk,1901-09-04,https://www.geni.com/people/Petronella-Johanna-Antonia-van-Heesbeen/6000000030140629489,Baardwijk,42288.73,,,,
00849,Lucasse,1893-06-23,1926-03-10,"152126,1469",1897-10-24,https://www.geni.com/people/Lucas-Lucasse/6000000029804908919,'s-Heer Arendskerke,1874-04-03,https://www.geni.com/people/Maatje-Steketee/6000000029804975845,'s-Heer Arendskerke,,,,,
00851,Luyben,1878-05-24,1902-06-09,"112294,8860",1859-09-15,https://www.genealogieonline.nl/stamboom-familie-poort/I31173.php,Den Bosch,1849-07-21,https://www.genealogieonline.nl/stamboom-familie-poort/I43107.php,Den Bosch,,,9635.78,zus in 1885 overleden,https://www.genealogieonline.nl/stamboom-familie-poort/I30824.php
00858,van Lynden van Sandenburg,1911-03-10,1932-12-25,"1892869,1358",1885-11-08,https://www.genealogieonline.nl/stamboom-baris/I87683.php,Neerlangbroek,1905-05-12,https://www.genealogieonline.nl/stamboom-baris/I93420.php,Den Haag,,,,,
00862,Maekay,1878-05-24,1909-11-13,"246824,8431",1846-07-27,https://www.geni.com/people/Johan-Fran%C3%A7ois-Hendrik-Jacob-Ernestus-Mackay/6000000001462859290,Nijmegen,1869-08-29,https://www.geni.com/people/Margaretha-Clara-Fran%C3%A7oise-van-Lynden/6000000017972316556,Nijmegen,,,95125.32,zus overleden 1896,https://www.genealogieonline.nl/stamboom-noya/R879.php
00864,T. Mackay,1893-06-23,1922-11-29,"172732,9902",1846-07-27,https://www.geni.com/people/Johan-Fran%C3%A7ois-Hendrik-Jacob-Ernestus-Mackay/6000000001462859290,Nijmegen,1869-08-29,https://www.geni.com/people/Margaretha-Clara-Fran%C3%A7oise-van-Lynden/6000000017972316556,Nijmegen,,,95125.32,zus overleden 1896,https://www.genealogieonline.nl/stamboom-noya/R879.php
00875,Marchant,1914-06-03,1956-05-12,NA,,,,,,,,,,,
00889,Mees,1878-05-24,1915-06-04,"302533,5184",1866-09-30,https://www.genealogieonline.nl/genealogie-mees/I1001449194.php,Doorn,1870-08-21,https://www.genealogieonline.nl/genealogie-mees/I1001449206.php,Rheden,,,145719.99,broer overleden in 1882,https://www.genealogieonline.nl/genealogie-mees/I1001449214.php
00892,de Meester,1914-06-03,1919-12-27,"36110,9615",1864-03-02,https://www.genealogieonline.nl/fr/genealogy-family-fokker/I5388.php,Harderwijk,1884-01-27,https://www.genealogieonline.nl/fr/genealogy-family-fokker/I5472.php,Voorst,,28021.75,,,
00902,Mendels,1914-12-11,1944-06-03,NA,,,,,,,,,,,
00917,de Meijier,1878-05-24,1909-03-23,"191278,5511",1882-02-13,https://www.geni.com/people/Adriaan-De-Meijier/6000000037125903285,Arnhem,1872-12-28,https://www.openarch.nl/gld:86DB1D28-9DDA-4A14-BD89-2A48C945534A,Arnhem,12798.06,,,,
00925,Middelberg,1911-03-10,1916-03-06,"165127,2926",1850-01-08,https://www.genealogieonline.nl/genealogie-schutijser/I43982.php,Boskoop,1900-10-12,https://www.genealogieonline.nl/genealogie-schutijser/I43983.php,Baarn,,,,,
00930,Mirandolle,1878-05-24,1884-06-21,"571428,9418",1841-03-15,https://www.genealogieonline.nl/stamboom-driessen/I7358920.php,Haarlem,1889-06-07,https://www.genealogieonline.nl/stamboom-driessen/I7358922.php,Haarlem,,2362.21,,Moeder overleden na hemzelf,
00931,Moens,1878-05-24,1899-06-24,"1981,0675",1869-12-04,https://www.geni.com/people/Antonij-Moens/6000000030940886985,Rotterdam,1879-07-02,https://www.geni.com/people/Johanna-Lambert/6000000030940886991,Beverwijk (Memorie Utrecht?),,,,,
00683,Kerens de Wylre,1878-05-24,1880-01-05,,,,,,,,,,,,
00940,de Monte verLoren,1911-03-10,1925-04-30,"42086,1433",1890-02-19,https://nl.wikipedia.org/wiki/Frederik_Herman_de_Mont%C3%A9_verLoren,Geneve,1899-04-18,https://www.genealogieonline.nl/stamboom-baris/I102958.php,Zeist,,,,,
00949,de Muralt,1914-06-03,1936-11-07,"34969,3941",1889-08-28,https://www.genealogieonline.nl/stamboom-driessen/I73294384.php,Utrecht,1922-02-21,https://www.genealogieonline.nl/stamboom-driessen/I73294386.php,Utrecht,,,,,
00951,Mutsaers,1893-06-23,1907-02-12,"36292,9523",1872-08-20,https://www.genealogieonline.nl/genealogische-gegevens-tilburg-goirle/I169153.php,Tilburg,1834-05-05,https://www.genealogieonline.nl/genealogische-gegevens-tilburg-go,Eindhoven,,,125139.03,broer overleden in 1895,https://www.genealogieonline.nl/genealogische-gegevens-tilburg-goirle/I169149.php
00967,Nierstrasz,1914-06-03,1939-07-07,"129709,6883",1892-03-29,https://www.genealogieonline.nl/stamboom-willemse/I4395.php,Algiers,1920-02-21,https://www.genealogieonline.nl/stamboom-willemse/I1757.php,Den Haag,,945471.56,,,
00973,van Nispen tot Sevenaer,1878-05-24,1884-04-03,"512511,2609",1875-05-05,https://www.genealogieonline.nl/stamboom-driessen/I736148.php,Zevenaar,1879-01-28,https://www.genealogieonline.nl/stamboom-driessen/I736115.php,Zevenaar,,1716278.92,,,
00975,J.W.J.C.M. van Nispen tot Sevenaer,1911-03-10,1917-01-10,"910006,5850",1884-04-03,https://www.genealogieonline.nl/genealogie-richard-remme/I371168.php,Arnhem,1912-12-29,https://www.genealogieonline.nl/genealogie-richard-remme/I371169.php,Arnhem?,516252.76,,,,
00977,O.F.A.M. van Nispen tot Sevenaer,1911-03-10,1956-10-30,NA,,,,,,,,,,,
00981,Nolens,1911-03-10,1931-08-27,"5010,2110",1914-11-05,https://www.genealogieonline.nl/stamboom-nicolai-kolb/I11309810.php,Venlo,1896-05-25,https://www.genealogieonline.nl/stamboom-nicolai-kolb/I70449568.php,Venlo,,,,,
00998,Oldenhuis gratama,1878-05-24,1887-07-05,"136267,3763",1858-01-09,https://nl.wikipedia.org/wiki/Sibrand_Gratama,Assen,1858-03-11,https://www.genealogieonline.nl/stamboom-ocken/I16299.php,Assen,,,,,
01003,ter Laan,1911-03-10,1917-07-27,"3987,6857",,,,,,,,,,,
01009,Otto,1914-06-03,1954-05-07,NA,,,,,,,,,,,
01022,Patijn,1878-05-24,1911-03-27,"706283,8063",1862-10-09,https://geneagraphie.com/getperson.php?personID=I410281&tree=1,Voorburg,1840-11-24,https://geneagraphie.com/getperson.php?personID=I410287&tree=1,Amsterdam,,,,,
01023,Patijn,1911-03-10,1956-05-23,NA,,,,,,,,,,,
01036,Plate,1893-06-23,1927-12-23,"2746,0627",1883-01-02,https://www.genealogieonline.nl/de-familie-hengeveld/I3356.php,Rotterdam,1873,https://www.genealogieonline.nl/de-familie-hengeveld/I3561.php,,87871.98,,,,
01042,Poelman,1893-06-23,1893-10-14,NA,,,,,,,,,,,
01067,Pijnacker Hordijk,1893-06-23,1918-08-09,"1059407,6113",1879-11-02,https://www.genealogieonline.nl/genealogie-schenkenberg-van-mierop/I1061639100.php,Naaldwijk,1867-09-09,https://www.genealogieonline.nl/genealogie-schenkenberg-van-mierop/I1061639103.php,Tiel,485818.1,,,,
01069,Pyttersen,1893-06-23,1919-09-10,"6319,2334",1885-06-14,https://www.geni.com/people/Tjeerd-Pyttersen/6000000037602469405,Franeker,1886-06-18,https://www.genealogieonline.nl/stamboom-griffioen-koster/I346551.php,Sneek,,,,,
01075,van Raalte,1914-06-03,1921-03-23,"63356,2822",1885-05-29,https://www.geni.com/people/David-van-Raalte/6000000005791812077,Den Haag,1896-05-20,https://www.geni.com/people/Louise-Elias/6000000005791812084,Den Haag,,,,,
01079,de Ram,1911-03-10,1917-07-04,"-42815,0245",1888-11-23,https://www.genealogieonline.nl/genealogisch-onderzoek-west-brabant/I89632.php,Bergen op Zoom,1886-01-26,https://www.genealogieonline.nl/genealogisch-onderzoek-west-brabant/I24594.php,Bergen op Zoom,,,,,
01085,de Ras,1893-06-23,1920-05-04,"9787,7410",1897-06-04,https://www.geni.com/people/Martinus-de-Ras/6000000036818867885,Arnhem,1851-01-07,https://www.genealogieonline.nl/stamboom-willemse/I3485.php,Nijmegen,,,,,
01091,Reekers,1878-05-24,1922-05-27,"156044,6016",,,,,,,,,,,
01113,Rink,1893-06-23,1941-08-06,hebikwel,1895-01-18,https://www.genealogieonline.nl/van-willigen-stamboom/I8081.php,Tiel,1853-02-06,https://www.genealogieonline.nl/van-willigen-stamboom/I8080.php,Tiel,,,,,
01118,Roell,1878-05-24,1914-07-13,"559625,9961",1883-09-09,https://www.genealogieonline.nl/en/stamboom-driessen/I7344712.php,Amsterdam,1862-01-15,https://www.genealogieonline.nl/en/stamboom-driessen/I7344715.php,Haarlem,338197.58,,,,
01120,Roessingh,1893-06-23,1916-12-19,"19141,0494",1882-03-22,https://www.geni.com/people/Hendrik-Roessingh/6000000017904530599,Haren,1862-02-20,https://www.geni.com/people/Louise-Collard/6000000017478920122,Assen,,,,,
01121,Rombach,1878-05-24,1891-04-24,"341199,1228",1905-02-06,https://www.geni.com/people/Jan-Rombach/6000000000091120040,,1855-08-13,https://www.geni.com/people/Johanna-Siebregt/6000000000091120047,Montfoort,,,,vrouw overleden in 1888,https://www.geni.com/people/Maria-Anna-de-Rouxville/6000000000087130977
01124,Roodenburg,1914-06-03,1929-04-13,"146871,8499",1900-11-03,https://www.geni.com/people/Jan-Willem-Marius-Roodenburg/6000000018388790278,Dordrecht,1915-01-24,https://www.geni.com/people/Charlotte-Louise-Tak/6000000018388858164,Hilversum,,,,,
01125,Roodkuyzen,1911-03-10,1933-11-20,"726,1250",1912-06-07,https://www.ancestry.com/genealogy/records/hendrik-gerhardus-roodhuyzen-24-9k85vv,'s-Graveland,,,,,,,,
01135,Roijaards van den Ham,1893-06-23,1897-03-02,"2918301,2418",1854-01-02,https://www.genealogieonline.nl/karens-family-tree/I195356.php,Utrecht,1832-10-06,https://www.genealogieonline.nl/karens-family-tree/I195357.php,Utrecht,,,,,
01142,de Ruiter Zylker,1878-05-24,1892-10-24,"-5424,4961",1868-03-02,https://nl.wikipedia.org/wiki/Jan_Freerks_Zijlker,Winschoten,1882-09-12,https://www.genealogieonline.nl/stamboom_van_rems_dijkstra/I14198.php,Winschoten,,,,,
01147,Rutgers,1914-06-03,1945-02-05,NA,,,,,,,,,,,
01148,Rutgers van Rozenburg,1893-06-23,1902-10-31,"1014556,7301",1857-11-02,https://www.geni.com/people/David-Rutgers-van-Rozenburg/6000000021000646118,Bloemendaal,1869-11-16,https://www.geni.com/people/Anna-Elisabeth-Wilhelmina-Koenen/6000000021000646124,Bloemendaal?,,,,,
01152,Ruys de Beerenbrouck,1914-06-03,1936-04-17,NA,,,,,,,,,,,
01166,Saaymans Vader,1878-05-24,1891-03-18,NA,,,,,,,,,,,
01168,Sandberg,1878-05-24,1906-02-15,"705802,3328",1843-03-06,https://www.genealogieonline.nl/en/stamboom-driessen/I73187891.php,Zwolle,1814-11-15,https://www.genealogieonline.nl/en/stamboom-driessen/I73187893.php,Zwolle,,,,2 broers overleden in 1877 en 1879:,https://www.genealogieonline.nl/en/stamboom-driessen/I73262105.php en https://www.genealogieonline.nl/en/stamboom-driessen/I73275165.php
01170,Sannes,1914-06-03,1930-01-02,"8449,3738",,,,,,,,,,,
01172,van Sasse van Ysselt,1911-03-10,1939-08-06,NA,,,,,,,,,,,
01177,de Savornin Lohman,1911-03-10,1924-06-11,"96084,4329",1848-11-02,https://www.genealogieonline.nl/stamboom-smits-van-oyen/I7762.php,Groningen,1859-10-01,https://www.genealogieonline.nl/stamboom-smits-van-oyen/I7763.php,Groningen,,,,"vrouw overleden 1906, dh",https://www.genealogieonline.nl/stamboom-smits-van-oyen/I7761.php
01180,Schaepman,1893-06-23,1903-01-21,NA,,,,,,,,,,,
01183,Schagen van Leeuwen,1878-05-24,1906-09-15,NA,,,,,,,,,,,
01189,Schaper,1911-03-10,1934-08-31,"3051,3817",1923-05-13,https://www.openarch.nl/search.php?top&name=Niklaas+Schaper&number_show=10&sort=3&start=30,Groningen,1916-04-02,https://www.openarch.nl/gra:2028c717-6054-be75-6ec0-b839cfb8aa9e,Groningen,,,,,
01191,Schepel,1878-05-24,1909-03-02,"20508,0717",1877-01-02,https://nl.wikipedia.org/wiki/Schepel_(geslacht),Noordbroek,1879-11-22,https://www.genealogieonline.nl/stamboom_klavers/I266445.php,Noordbroek,,,,,
01194,Scheurer,1914-06-03,1928-06-20,NA,,,,,,,,,,,
01198,Schim van der Loeff,1914-06-03,1923-02-10,NA,,,,,,,,,,,
01201,Schimmelpenninck,1914-06-03,1929-12-13,NA,,,,,,,,,,,
01203,A. Schimmelpenninck van der Oye,1878-05-24,1918-06-19,"1331755,2223",1872-12-12,https://www.genealogieonline.nl/west-europese-adel/I150742.php,Wilp,1842-11-09,https://www.genealogieonline.nl/west-europese-adel/I150743.php,Zutphen,,,859340.53,broer ging dood in 1889,https://www.genealogieonline.nl/west-europese-adel/I166044.php
01204,J.E.N. Schimmelpenninck van der Oye,1893-06-23,1914-04-11,NA,,,,,,,,,,,
01229,van der Schrieck,1878-05-24,1896-03-05,"35968,1288",1852-08-25,http://www.genealogy.henny-savenije.pe.kr/tng/getperson.php?personID=I464125&tree=savenije,Boxtel,,,,,,,vrouw overleden in 1879,https://www.genealogieonline.nl/genealogische-gegevens-tilburg-goirle/I254888.php
01238,Seret,1893-06-23,1912-12-23,"4469,1506",1878-01-18,https://www.openarch.nl/rzh:6a3da4f6-4123-40a9-8fbd-4930256f9cc8,Leerdam,1877-08-27,https://www.openarch.nl/rzh:ffe47998-07f0-48fe-900e-d620b977a529,Leerdam,,,,,
01246,Sickesz,1878-05-24,1904-02-19,"273139,8114",1880-01-23,https://www.geni.com/people/Johan-Balthasar-Christiaan-Sickesz/6000000037469406067,Apeldoorn,1839-08-31,https://www.openarch.nl/hua:095283D3-752B-4B60-A7D5-E05716DDB044,Amersfoort,,,,,
01269,Smeenge,1893-06-23,1935-05-09,NA,,,,,,,,,,,
01271,Smidt,1911-03-10,1925-11-14,"134249,3782",,,,,,,,,,,
01273,Smit,1893-06-23,1935-05-10,"118415,3740",1875-02-06,https://gw.geneanet.org/visser?lang=en&n=smit&p=arie&on_register_success=1,Kralingen (Rotterdam),1889-03-01,https://gw.geneanet.org/visser?lang=en&n=smit&p=arie&on_register_success=1,Kralingen (Rotterdam),,2440955.74,,"Johanna Pot, Jan Smit",
01280,Smits van Oijen,1893-06-23,1898-10-12,"491000,2060",,,,,,,,,,,
01283,Snoeck Henkemans,1911-03-10,1945-05-24,"26498,3593",1914-01-19,https://www.delpher.nl/nl/kranten/view?query=Gerhard+Snoeck+Henkemans&coll=ddd&identifier=MMKB15:000720044:mpeg21:a00026&resultsidentifier=MMKB15:000720044:mpeg21:a00026,Den Haag,1888-03-31,https://www.delpher.nl/nl/kranten/view?query=Johanna+Clasina+Snoeck+Henkemans&coll=ddd&identifier=MMKB23:001390078:mpeg21:a00043&resultsidentifier=MMKB23:001390078:mpeg21:a00043,Den Haag,,,,,
01288,Spiekman,1914-06-03,1917-11-18,"13107,4653",,,,,,,,,,,
01303,Stieltjes,1878-05-24,1878-06-23,"0,0000",,,,,,,,,,,
01311,van Stolk,1878-05-24,1880-07-30,"174077,2567",,,,,,,,,,,
01320,ter Spul,1914-06-03,1916-03-21,"1386797,6570",,,,,,,,,,,
01343,Tedinjg van Berkhout,1878-05-24,1880-07-25,NA,,,,,,,,,,,
01344,Teenstra,1911-03-10,1958-05-24,NA,,,,,,,,,,,
01347,van den Tempel,1916-07-18,1955-06-27,NA,,,,,,,,,,,
01359,Thomson,1911-03-10,1914-06-15,NA,,,,,,,,,,,
01365,van Tienlioven,1878-05-24,1914-10-10,"365691,4057",,,,,,,,,,,
01374,Travaglino,1893-06-23,1905-05-23,"621115,0185",,,,,,,,,,,
01375,Treub,1911-03-10,1931-07-24,"53244,7764",,,,,,,,,,,
01376,Troelstra,1914-12-11,1930-05-12,"6642,7788",,,,,,,,,,,
01384,Tydeman,1893-06-23,1916-11-04,"949172,8702",,,,,,,,,,,
01385,Tijdens,1893-06-23,1904-05-28,NA,,,,,,,,,,,
01389,Valette,1893-06-23,1935-11-17,"12651,3721",,,,,,,,,,,
01391,Veegens,1893-06-23,1910-12-27,"47809,3650",,,,,,,,,,,
01392,van Veen,1914-12-11,1929-05-01,"92058,5637",,,,,,,,,,,
01400,van de Velde,1893-06-23,1919-05-28,"301151,7266",1915-11-03,https://www.openarch.nl/search.php?top&name=Ernest+van+de+Velde&number_show=10&sort=4&start=40,Den Haag,,,,,,,,
01404,van Velzen,1893-06-23,1913-02-13,"181410,5326",,,,,,,,,,,
01405,Vening Meinesz,1878-05-24,1909-12-26,"48096,1323",,,,,,,,,,,
01411,Verheij,1911-03-10,1913-05-04,"12621,6737",,,,,,,,,,,
01414,Verheijen,1878-05-24,1898-01-11,"86847,5857",,,,,,,,,,,
01422,Vermeulen,1893-06-23,1913-10-09,"58959,4628",,,,,,,,,,,
01424,Verniers van der Loeff,1878-05-24,1891-01-22,"252181,1698",,,,,,,,,,,
01437,Viruly Verbrugge,1878-05-24,1908-12-10,"579068,3576",1852-12-28,https://www.geni.com/people/Michiel-Viruly-heer-van-Vuren-en-Dalem/6000000013870206424,Rotterdam,1880-08-30,https://www.geni.com/people/Johanna-Catharina-Mathijsen/6000000017128326884,Stompwijk-Leidschendam,,,,,
01445,Visser van IJzendcorn,1914-06-03,1924-09-23,"317411,1734",,,,,,,,,,,
01446,de Visser,1911-03-10,1932-04-14,"31294,4832",,,,,,,,,,,
01451,Vliegen,1911-03-10,1947-06-29,NA,,,,,,,,,,,
01454,van Vliet,1911-03-10,1941-12-19,NA,,,,,,,,,,,
01456,de Vlugt,1911-03-10,1945-02-10,NA,,,,,,,,,,,
01458,van Vlijmen,1893-06-23,1919-12-17,"753,9477",,,,,,,,,,,
01460,van Vollenhoven,1914-06-03,1923-11-26,"110230,9754",,,,,,,,,,,
01470,van der Voort van Zijp,1911-03-10,1935-09-28,NA,,,,,,,,,,,
01479,de Vos van Steenwijk,1878-05-24,1897-10-10,"261447,2069",,,,,,,,,,,
01494,van Vuuren,1911-03-10,1932-04-02,"33061,8547",,,,,,,,,,,
01507,Walter,1893-06-23,1900-01-23,"14338,5300",,,,,,,,,,,
01509,van Wassenaer van Catwijck,1878-05-24,1887-11-19,"490328,3326",,,,,,,,,,,
01510,van Wassenaer van Catwijck,1911-03-10,1939-11-06,"702439,6723",1892-04-06,https://www.genealogieonline.nl/stamboom-driessen/I73243784.php,Ermelo,1892-10-11,https://www.genealogieonline.nl/stamboom-driessen/I73243785.php,Ermelo,,,,,
01522,van de Werk,1878-05-24,1926-01-23,"66403,8152",,,,,,,,,,,
01538,van Wichen,1914-06-03,1920-03-06,NA,,,,,,,,,,,
01557,Wintgens,1878-05-24,1895-01-12,"772969,8975",,,,,,,,,,,
01572,Wybenga,1878-05-24,1886-09-09,NA,,,,,,,,,,,
01580,de Wijkorslooth de Weerdesteyn,1911-03-10,1936-05-16,"427615,6366",1909-07-15,https://www.genealogieonline.nl/karens-family-tree/I168789.php,Brussel,1920-08-07,https://www.genealogieonline.nl/karens-family-tree/I168790.php,Nice,,,,,
01583,van Wijnbergen,1911-03-10,1950-03-01,NA,,,,,,,,,,,
01601,van Zinnicq Bergmann,1878-05-24,1879-02-25,"156458,2225",,,,,,,,,,,
01613,Zijp,1893-06-23,1897-09-17,"63219,2497",,,,,,,,,,,